title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
Ingénieur vie série  méthode Test FCT,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Technicien Maintenance Test FCT,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Directeur Administratif et Financier,Entreprise Anonyme,Tunis,,No description available,,,02/12/2025,https://www.keejob.com/offres-emploi/232189/directeur-administratif-et-financier/,keejob.com
Technicien Qualité,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI 1000 - 1500 TND,CDI,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
COMMERCIAL TERRAIN SUD,OLYMPIA COMPANY,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 900 - 1000 TND,CDI,900-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/23213/lp-paint/,keejob.com
Conseillers Clients Réception dappels FR/ANG,CONCENTRIX,Tunis,call center / télévente,call center / télévente CDI 770 - 1100 TND,CDI,770-1100 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1708/stream/,keejob.com
Administration Réseau  Système,HAMADI ABID,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/180/hamadi-abid/,keejob.com
Coordinatrice Commerciale,OLYMPIA COMPANY,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 800 - 900 TND,CDI,800-900 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/23213/lp-paint/,keejob.com
Directeur Administratif et Financier,Entreprise Anonyme,Tunis,,No description available,,,02/12/2025,https://www.keejob.com/offres-emploi/232044/directeur-administratif-et-financier/,keejob.com
Assistante Graphique - Service Commercial,GLOBAL CUSTOMER SUPPORT GCS GROUPE SGP,Tunis,autres,autres CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15430/global-costumer-support/,keejob.com
Cost Controller,Entreprise Anonyme,Tunis,,No description available,,,02/12/2025,https://www.keejob.com/offres-emploi/232083/cost-controller/,keejob.com
SAGE FEMME,AMEN SANTE,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15406/el-amen-sante/,keejob.com
